keep.segment-store.definition/v2
key	value
gc.receipt.fields	magic:16,version:u16,record_length:u16,flags:u32,generation:u64,intent_digest:32,retired_set_digest:32,pool_state_digest:32,liveness_generation:u64,manifest_digest:32,catalog_generation:u64,catalog_digest:32,reader_device:u64,reader_mount:u64,reader_file:u64,synchronization_count:u64,reserved:48,checksum:32
gc.receipt.length	320
gc.receipt.magic	KEEP:GC:RECEIPT2
gc.receipt.version	2
migration.intent.fields	magic:16,version:u16,record_length:u16,flags:u32,catalog_generation:u64,catalog_length:u64,catalog_digest:32,predecessor_digest:32,inventory_digest:32,root_device:u64,root_mount:u64,root_file:u64,definition_digest:32,store_id:32,checksum:32
migration.intent.length	256
migration.intent.magic	KEEP:MIG:INT2\0\0\0
migration.intent.version	2
migration.inventory.entry-fields	kind:u8,reserved:7,catalog_generation:u64,artifact_length:u64,artifact_digest:32
migration.inventory.entry-width	56
migration.inventory.maximum-entries	2097152
migration.receipt.fields	magic:16,version:u16,record_length:u16,flags:u32,intent_digest:32,store_id:32,format_marker_digest:32,initial_retention_digest:32,initial_gc_digest:32,disposition_set_digest:32,synchronization_mask:u64,checksum:32
migration.receipt.length	256
migration.receipt.magic	KEEP:MIG:REC2\0\0\0
migration.receipt.synchronization-mask	0x00000000000003ff
migration.receipt.version	2
recovery.disposition.fields	magic:16,version:u16,record_length:u16,flags:u32,artifact_kind:u16,decision:u16,classification:u16,reserved:u16,artifact_length:u64,artifact_identity_digest:32,artifact_content_digest:32,publication_generation:u64,publication_checksum:32,catalog_generation:u64,catalog_digest:32,liveness_generation:u64,manifest_digest:32,reader_device:u64,reader_mount:u64,reader_file:u64,decision_evidence_digest:32,reserved:8,checksum:32
recovery.disposition.length	320
recovery.disposition.magic	KEEP:REC:DISP2\0\0
recovery.disposition.maximum-receipts	65536
recovery.disposition.version	2
retention.anchor.fields	blob_id:59,layout_id:60
retention.anchor.width	119
retention.closure.maximum-depth	8
retention.closure.maximum-encoded-bytes	16777216
retention.closure.maximum-nodes	1048576
retention.closure.maximum-physical-bytes	1073741824
retention.head.fields	magic:16,version:u16,record_length:u16,flags:u32,liveness_generation:u64,manifest_length:u64,manifest_digest:32,predecessor_manifest_digest:32,reserved:u64,checksum:32
retention.head.length	144
retention.head.magic	KEEP:RET:HEAD2\0\0
retention.head.version	2
retention.manifest.entry-fields	namespace_digest:32,root_generation:u64,root_digest:32
retention.manifest.entry-width	72
retention.manifest.fields	magic:16,version:u16,header_length:u16,flags:u32,total_length:u64,liveness_generation:u64,entry_width:u16,reserved:u16,entry_count:u32,predecessor_digest:32,entry_set_digest:32,reserved:48,entries:count*72,manifest_digest:32,checksum:32
retention.manifest.header-length	160
retention.manifest.magic	KEEP:RET:LIVE2\0\0
retention.manifest.maximum-entries	4096
retention.manifest.maximum-length	295136
retention.manifest.version	2
retention.maximum-namespaces	4096
retention.namespace.maximum-length	255
retention.namespace.minimum-length	1
retention.profile.digest	db1c1c1a50613ef11f7c0ee0882e37b6d24e2db2ca57783d01197ba51b61ce59
retention.profile.identity	1
retention.profile.version	1
retention.root.fields	magic:16,version:u16,header_length:u16,flags:u32,total_length:u64,root_generation:u64,namespace_length:u16,anchor_width:u16,anchor_count:u32,profile_identity:u32,profile_version:u32,profile_digest:32,closure_node_limit:u64,closure_depth_limit:u16,reserved:u16,encoded_byte_limit:u64,physical_byte_limit:u64,predecessor_digest:32,anchor_set_digest:32,reserved:12,namespace:namespace_length,anchors:count*119,root_digest:32,checksum:32
retention.root.header-length	192
retention.root.magic	KEEP:RET:ROOT2\0\0
retention.root.maximum-anchors	65536
retention.root.maximum-length	7799295
retention.root.version	2
